file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00212_0057_291885_to_293080,དྲང་སྲོང་ལགས།  ,drang srong lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00212_0057_291885_to_293080.wav,STT_AB,3,15,1.195,wav16k/STT_AB00212_0057_291885_to_293080.wav,དྲང་སྲོང་ལགས།
STT_AB00277_0303_1544325_to_1546049,དང་པོ་དང་སྟོང་ཉིད་དོན་གཅིག ,dang po dang stong nyid don gcig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0303_1544325_to_1546049.wav,STT_AB,3,27,1.724,wav16k/STT_AB00277_0303_1544325_to_1546049.wav,དང་པོ་དང་སྟོང་ཉིད་དོན་གཅིག
STT_AB00277_0314_1610588_to_1615571,ལྷན་སྐྱེས་ཀྱི་བདེ་བས་ཡུལ་དོན་དམ་བདེན་པ་འོད་གསལ་མངོན་དུ་བྱེད་པའི་སྒོ་ནས་ ,lhan skyes kyi bde bas yul don dam bden pa 'od gsal mngon du byed pa'i sgo nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0314_1610588_to_1615571.wav,STT_AB,3,72,4.983,wav16k/STT_AB00277_0314_1610588_to_1615571.wav,ལྷན་སྐྱེས་ཀྱི་བདེ་བས་ཡུལ་དོན་དམ་བདེན་པ་འོད་གསལ་མངོན་དུ་བྱས་པའི་སྒོ་ནས།
STT_AB00277_0318_1631339_to_1640503,དེ་འདྲའི་བྱང་སེམས་དེས་སྔགས་ཀྱི་ལམ་གང་ནས་འཇུག་པ་ཡིན། ཞེ་ན། བསྐྱེད་རིམ་དང་། རིམ་པ་གསུམ་པའི་སྒྱུ་ལུས་མན་ཆད་ནས་འཇུག་པ་མ་ ,de 'dra'i byang sems des sngags kyi lam gang nas 'jug pa yin/_zhe na/_bskyed rim dang /_rim pa gsum pa'i sgyu lus man chad nas 'jug pa ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0318_1631339_to_1640503.wav,STT_AB,3,117,9.164,wav16k/STT_AB00277_0318_1631339_to_1640503.wav,དེ་འདྲའི་བྱང་སེམས་དེས་སྔགས་ཀྱི་ལམ་གང་ནས་འཇུག་པ་ཡིན་ཞེ་ན། བསྐྱེད་རིམ་དང་རིམ་པ་གསུམ་པའི་སྒྱུ་ལུས་མན་ཆད་ནས་འཇུག་པ་མ་
STT_AB00277_0307_1566220_to_1574633,དོན་གྱི་འོད་གསལ་ལ་ཉོན་སྒྲིབ་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་དེ་དང་། ཉོན་སྒྲིབ་སྤངས་པའི་དེ་དང་། ཤེས་སྒྲིབ་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་དེ་དང་།  ,don gyi 'od gsal la nyon sgrib kyi dngos gnyen du gyur pa'i de dang /_nyon sgrib spangs pa'i de dang /_shes sgrib kyi dngos gnyen du gyur pa'i de dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0307_1566220_to_1574633.wav,STT_AB,3,134,8.413,wav16k/STT_AB00277_0307_1566220_to_1574633.wav,དོན་གྱི་འོད་གསལ་ལ་ཉོན་སྒྲིབ་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་དེ་དང་། ཉོན་སྒྲིབ་སྤངས་པའི་དེ་དང་། ཤེས་སྒྲིབ་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་དེ་དང་།
STT_AB00277_0311_1596953_to_1604701,དོན་གྱི་ལྷན་སྐྱེས་ཀྱི་སྟོང་ཉིད་མངོན་སུམ་དུ་རྟོགས་པས་ན། གཉིས་སྣང་ཕྲ་མོ་ཡང་དག་ནས་བདེ་སྟོང་རོ་གཅིག་ཏུ་སྦྱོར་བ་རྫོགས་པར་ཡོད་དོ།  ,don gyi lhan skyes kyi stong nyid mngon sum du rtogs pas na/_gnyis snang phra mo yang dag nas bde stong ro gcig tu sbyor ba rdzogs par yod do/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0311_1596953_to_1604701.wav,STT_AB,3,125,7.748,wav16k/STT_AB00277_0311_1596953_to_1604701.wav,དོན་གྱི་ལྷན་སྐྱེས་ཀྱི་སྟོང་ཉིད་མངོན་སུམ་དུ་རྟོགས་པས་ན། གཉིས་སྣང་ཕྲ་མོ་ཡང་དག་ནས་བདེ་སྟོང་རོ་གཅིག་ཏུ་སྦྱོར་བར་རྫོགས་པ་ཡོད་དོ།
STT_AB00277_0315_1616254_to_1620742,ཀུན་རྫོབ་ཀྱི་སྤྲོས་པ་མ་ལུས་པ་ནུབ་པའི་ཡེ་ཤེས་ཡིན་པས་དེ་ལྟར་བརྗོད་པའི་ཕྱིར།  ,kun rdzob kyi spros pa ma lus pa nub pa'i ye shes yin pas de ltar brjod pa'i phyir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0315_1616254_to_1620742.wav,STT_AB,3,75,4.488,wav16k/STT_AB00277_0315_1616254_to_1620742.wav,ཀུན་རྫོབ་ཀྱི་སྤྲོས་པ་མ་ལུས་པ་ནུབ་པའི་ཡེ་ཤེས་ཡིན་པས་དེ་ལྟར་བརྗོད་པའི་ཕྱིར།
STT_AB00277_0321_1654445_to_1659479,དེ་འདྲ་བའི་སྲིད་པ་ཐ་མ་བ་དེས་མི་གཡོ་བའི་ཏིང་ངེ་འཛིན་ལ་མཉམ་པར་བཞག་པ་ན།  ,de 'dra ba'i srid pa tha ma ba des mi g.yo ba'i ting nge 'dzin la mnyam par bzhag pa na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0321_1654445_to_1659479.wav,STT_AB,3,70,5.034,wav16k/STT_AB00277_0321_1654445_to_1659479.wav,དེ་འདྲ་བའི་སྲིད་པ་ཐ་མ་བ་དེས་མི་གཡོ་བའི་ཏིང་ངེ་འཛིན་ལ་མཉམ་པར་བཞག་པ་ན།
STT_AB00277_0329_1705230_to_1708899,སྐྱ་རེངས་འཆར་ཁར་མི་སློབ་པའི་ཟུང་འཇུག་མངོན་དུ་བྱེད་པ་ཡིན་ཏེ།  ,skya rengs 'char khar mi slob pa'i zung 'jug mngon du byed pa yin te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0329_1705230_to_1708899.wav,STT_AB,3,61,3.669,wav16k/STT_AB00277_0329_1705230_to_1708899.wav,བསྐྱ་རིམ་འཆར་ཁར་མི་སློབ་པའི་ཟུང་འཇུག་མངོན་དུ་བྱས་པ་ཡིན་ཏེ།
STT_AB00277_0330_1709121_to_1710349,རིམ་ལྔ་གསལ་སྒྲོན་ལས།  ,rim lnga gsal sgron las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00277_0330_1709121_to_1710349.wav,STT_AB,3,22,1.228,wav16k/STT_AB00277_0330_1709121_to_1710349.wav,རིམ་ལྔ་གསལ་སྒྲོན་ལས།
